,AAPL,MSFT,GOOGL,AMZN,TSLA
2021-04-14,129.1619174233,247.1187929817,111.5552761175,166.65,244.0766666667
2021-04-15,131.5782617089,250.8992009811,113.711832655,168.9545,246.2833333333
2021-04-16,131.2456475158,252.0981027507,113.5874350698,169.972,246.5933333333
2021-04-19,131.9108759021,250.1643902191,113.9362458987,168.6005,238.21
2021-04-20,130.2184566251,249.7002992115,113.4013362823,166.7345,239.6633333333
2021-04-21,130.5999846702,251.9434057482,113.3684953198,168.101,248.04
2021-04-22,129.0738724898,248.6464258817,112.0832194692,165.452,239.8966666667
2021-04-23,131.402171842,252.4945138197,114.4422952754,167.044,243.1333333333
2021-04-26,131.7934826575,252.881256326,114.9398856163,170.45,246.0666666667
2021-04-27,131.4706512347,253.2873359577,113.9969519203,170.8715,234.9133333333
2021-04-28,130.6782468333,246.1229310279,117.3835517805,172.925,231.4666666667
2021-04-29,130.5804191294,244.140875683,119.06142641,173.5655,225.6666666667
2021-04-30,128.6042995112,243.8218131153,117.1078867317,173.371,236.48
2021-05-03,129.660838713,243.5124191102,116.5893975964,169.3245,228.3
2021-05-04,125.0727194014,239.5773141083,114.7856326107,165.5935,224.5333333333
2021-05-05,125.3172886611,238.3010638374,115.1807193413,163.527,223.6466666667
2021-05-06,126.9216630046,241.453015264,116.3042783311,165.3185,221.18
2021-05-07,127.5966741613,244.0925328697,117.0297650481,164.5805,224.1233333333
2021-05-10,124.3041096487,238.9875317862,114.0352663766,159.5245,209.68
2021-05-11,123.3829755292,238.0690183336,112.9559929272,161.1955,205.7333333333
2021-05-12,120.3059955978,231.0786475317,109.4823147573,157.597,196.63
2021-05-13,122.4618414096,234.975078283,110.9148773488,158.0735,190.5633333333
2021-05-14,124.8920675974,239.925382364,113.3699880908,161.145,196.58
2021-05-17,123.7357502984,237.0538192545,113.8944483101,163.5195,192.2766666667
2021-05-18,122.3442498198,235.0234210963,112.5783218584,161.614,192.6233333333
2021-05-19,122.1874610335,235.6035348558,113.0276459362,161.59,187.82
2021-05-20,124.7548774094,238.8596547847,114.7916036947,162.384,195.5933333333
2021-05-21,122.9126091702,237.5901556457,114.1536928777,160.154,193.6266666667
2021-05-24,124.5490921274,243.026713027,117.4830698487,162.2495,202.1466666667
2021-05-25,124.3531061445,243.9376513405,117.5741288811,162.9525,201.5633333333
2021-05-26,124.3041096487,243.7147621787,118.4419264356,163.258,206.3766666667
2021-05-27,122.7656196831,241.6021605581,117.5646746646,161.5055,210.2833333333
2021-05-28,122.1090666404,241.9607213837,117.2745794959,161.1535,208.4066666667
2021-06-01,121.7856897686,239.7512114319,118.4852167953,160.9325,207.9666666667
2021-06-02,122.5500351019,239.6543031007,117.9582686243,161.6995,201.7066666667
2021-06-03,121.0605416319,238.1134606343,116.8133132498,159.3505,190.9466666667
2021-06-04,123.3633769309,243.0364038602,119.1017312277,160.311,199.6833333333
2021-06-07,123.37317623,245.9630354629,119.5361275953,159.9005,201.71
2021-06-08,124.1963173582,244.7613721558,119.3440577237,163.2055,201.1966666667
2021-06-09,124.5784900248,245.7498371343,119.8167685475,164.0575,199.5933333333
